position,Company,Location,link
.NET Developer (9077),Myticas Consulting,"Houston, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bt274jo0r_e0cCCqhskoQvohXG3bfDAo8rIdE-Msu3yuVfyF2oiDFKHFOU-vxVulBQSulkdCX2H7nS2mU677EQxhVbTEblMXzk9Q6wdMRH5jMhgtmMho6kBeG792flzHD7UfLKbE0-gdIKB01HMbnw5QjDQalgV5HqSnzfEOfNdzYAxlu9EXkA75S_jVnB5m9kjmTLgtBdYMcFyt3WvuSWcKSvmZHWWuKPYC3NwP6wS0nxSKvYycv_46J4shpczOObqMkVp-RFep2e2ipA_a3FMF60_L01QBYEw1E51rbDMEMU9kaxcMycB4ypbG-NgMAVjpPh7BI-8V0MaHdhUe8HHYhj6n6fyZQzrbrfhWhLTZpJvey0B1BcxSIxl-rW-q3UNTutWb9AVTRp3eaAnuQ9LIi6-IYVcC_3GP75bl0f5TnAXakwqPqsD-a5-WNCc-P6uLYUOWP0IQ==&p=0&fvj=0&vjs=3
Azure Developer,Internal Data Resources,"Alpharetta, GA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D-IIHpRgNhhiguU_t6VlqfhfFf3-SclHiEW6RanCpGL0AEnsnTmiX299MBfDVxpfpefsQfFe5SWTmboDvaS1sKFy_OoJV6zClYRqo9we_XMkpdB-I2QOB3zB4VoUIRRdqcUtU_7XUvywqKMl-i4XqXNjE5iYtgYc2zyB6WxqPABGS_2XR5ItbH5L8fMFXvORXVZGQ0ghijvxnpXeJdh-1OOEexDnxokH2Rm3nRKvOtG-NQmVi9Xd1-4jQOZrIxiWDhOD1jyjAqD88JCLyS_XVk-lZZJNGgQu3VgPKL8QTPSamR--AWKsK-I5230Z_c9HX_7fDqVBLxNi4c0uXFHrJb9DiHSofopz5FrxZ2LZFfx54MHN9-ZBgcZ5GbX0JYufvhrAPKTFqP52wOo9boQPjfqf4co81Boc7o9ThiN6hsDIzOKzq24Ul_MjmUHXO_bPr8lv9IVFMQKw==&p=1&fvj=1&vjs=3
Full Stack C#.NET Developer (W-7666),Myticas Consulting,"Madison, WI",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bt274jo0r_e0cCCqhskoQvohXG3bfDAo8rIdE-Msu3yuVfyF2oiDFKHFOU-vxVulBQSulkdCX2H037KhKcueAojGFUagLHTSPFd1iAlqcc07VjprNOate8LgJqh7a6K9vzYunXnraffhCQVeKNOiG7C2wXrMoRUnG8PVcqowjZuQfwX0QVfUQjvxUtcvBmJVCqHu3JJAeBUb9ODh7dRBmDC0WlzzVGtdWZCeDq--Oi6-R95BAQ4nfvNYiYX20LawTKebMYoxm4yVtBwC4S5a6PPiwy0AcF5gyorPyedeYHKKYY9bWFN49mtnfcaoM_HM2-tYMmKtNgW4lha6pWSjRktg3UAZZ9JPydGLpN7ecbSb0KqlWUPUZov8aSbI-7vk7eGv0QpiKaYIPYA9DE0_NUv9IMYzriHGznedCayLFo0ivnaqm0mB0wO41ziyY-ddcDJ6NR3imyuA==&p=2&fvj=0&vjs=3
Principal Software Engineer (Aerospace),jay@pgsworldwide.com,"Richardson, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6th_gLkMXarimKtg79ygn_ckOxs4dNEUoC3NpNub0xiYr9PT_wRVX1dA45WNTqn7Kzs0as19WHZW0F_pC1dmEKXtQ9R1X_tu0PaE5XMABCdhOcRyjVO9c5Ll439DpNikPQT-0B2n1DHBddYpjKD6LUnB6MK3AEJEBXK2E772JHV3kH-TfatSH_gTieQl1wWejHAlstK4wusgOx92Wr5p-V446yHNvIqs0LftlTKjeP7WlytxOnfF13pyxklIJrvbV_-xeX-JK28-mhCunvYmBynRlcekik2IbvLjWdxrWb3MonrFNRXyIcIglNWBXVZYyBQlMbrsPT75irUlR8S8ni_sRwwAhnQ7XBRx0UpdrWIm1a-h70fofqvgw5lstPqByqScVlI0IhkNNVeSI8TQ3kDW2rAfuVBB45EmBqtMKrbiNYH9Gh6em325f9X2aLUSJKcuBWjPfxw==&p=3&fvj=1&vjs=3
Front End Mid Level Developer,TRC Staffing,"Ashburn, VA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DfcxISBTW4rKmBrUzWpWYVsIX8zsbFXDUc1TnSbRIWdLF78NWqwRS9adatmEX_obbG_Vvq2DTmtpbsZMFVV99dBiYPvKEK8bTNJMCB_Fel96FUjFxDXPYyRRVG6Fbeq_SxGmjTrrKoxge_fN9-tWySf1e7ddZjniVdiAuMsbvVRBXP9huvUt2Zmdu3UJ9Ygw4zBP0kFgEywpKce0vLPLL5kJGDpKojD08JtMk9rbQ9Af5Xc8xFrSU7MAAbFrsHFhoqeMR-ijBxIwRI84CMauq5c6CfzdZoKNxTfvZvqv8qGE6m9ujW5TWL0_ZOPGlFRBxLYUqAfp1I_06mxZV8N1RJXBbdqQSrwXRgd-9rhXDWlv3I46kZuUl3e5i1FFQqPQPTEWQDsSet_3PrqUKgmjc0mFThIeHOPXEq-hVafzzzE6cgeJRD7LPNY3qDqCINYPghyhFJ5NRNyeFtUkSIkRfMifV_T_QLQWaiJTFg0XGjsSAWgXHHDNIX&p=4&fvj=0&vjs=3
Senior .Net Developer,InterSources Inc,"New York, NY",https://www.indeed.com/company/InterSources-Inc/jobs/Senior-Net-Developer-6873e0a3124ffabf?fccid=08dfa873b56badaf&vjs=3
Full Stack .Net Developer,Pernix,"Charlotte, NC",https://www.indeed.com/company/Pernix/jobs/Full-Stack-Net-Developer-548123707b48b57e?fccid=9df0e2218cb9adfb&vjs=3
Full Stack Developer - .NET,Kani Solutions,"St. Louis, MO",https://www.indeed.com/company/Kani-Solutions/jobs/Full-Stack-Developer-5c1ccebe4ec39573?fccid=6d19b3e54be9bb3a&vjs=3
.Net Developer/Lead,InfiCare Technologies,"Redmond, WA",https://www.indeed.com/company/DZUWA-TECH-PVT-LTD/jobs/Net-Developer-Lead-4d967c9400499931?fccid=9cd68bd2159be71b&vjs=3
Sitecore Developer,Ignium Digital,"Portland, OR",https://www.indeed.com/company/Ignium-Digital/jobs/Sitecore-Developer-d5fcbd94cbd27f6c?fccid=4cf6d967c1c0341a&vjs=3
Senior .Net Developer,Activesoft.Inc,"New York, NY",https://www.indeed.com/company/Activesoft.Inc/jobs/Senior-Net-Developer-a5f31c3e139000c7?fccid=fff9427af6f5e055&vjs=3
ASP.Net / WEB API / C# Dev,Systemart LLC,"Tampa, FL",https://www.indeed.com/rc/clk?jk=faa0d9c24cf9cb39&fccid=f9dd3166cf821eca&vjs=3
Senior Power BI Developer,Texplorers Inc.,"Richmond, VA",https://www.indeed.com/company/Texplorers-Inc./jobs/Senior-Power-Bi-Developer-fafded619c7bbe00?fccid=d9030556d713fa30&vjs=3
Net Developer,System Soft Technologies,"Phoenix, AZ",https://www.indeed.com/company/System-Soft/jobs/Net-Developer-f3d4e232a4a1ee3a?fccid=6e8c360586aac92a&vjs=3
.Net Developer,CompuSoft Integrated Solutions,"Lakewood, CO",https://www.indeed.com/company/CompuSoft-Integrated-Solutions/jobs/Net-Developer-f16804739b76ae75?fccid=26fe294ce6db9a0e&vjs=3
Azure Developer,Internal Data Resources,"Alpharetta, GA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D-IIHpRgNhhiguU_t6VlqfhfFf3-SclHiEW6RanCpGL0AEnsnTmiX299MBfDVxpfpefsQfFe5SWTmboDvaS1sKFy_OoJV6zClYRqo9we_XMkpdB-I2QOB3zB4VoUIRRdqcUtU_7XUvywqKMl-i4XqXNjE5iYtgYc2zyB6WxqPABGS_2XR5ItbHoDmbWTaeafpMUh-_hBev_ASjhv6b5VWpkK-cqcqELDKsbjfIQhG0bnP78cx1z_ptMG8BS5K6xQXzHQ1YTFxZxYQ3nL-WFP2WyHo0yHp2ExEzltzSnAkBy-w9PAaJ0k7tBmGlu31EjPJ65GR9uHp0bJk4IZtEsMZIRoaGRZ7G1BNk1B9s-UbSHqRJaSo4QzIdEE7nySYeC4WcV6FJIl2Wb-54KqqKjxUhoovQb85Ll-8aI7nwDGauVDCABWgRk4B2iIVih7c4Xah3HSw6YFuh3w==&p=0&fvj=1&vjs=3
Dynamics 365/CRM Developer,TetraCloud Solutions Corp,"Atlanta, GA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AehsUXeATYU6uvjCQHxWDbUO8JpXTu0s0llQ1WpLJARWFidhFpLPtKBwhmvKPPFXruQylcmEpi0UZxRWlycmom_eJ-MaiMIcvfJDEB5VkZhDBM14WyB463FQwaSEbw1-nsj5KYjylGVQacyjzUvXVCCHudCL8MuNmIrbBYvaicpVr063HXRadTeFx2pZxiKIoD_m6s3Fj22qot1mCl4SnUlbyipu_QIZgTUeY0SO8WYfkKKFKNBo6be9lk9hq6tkHTnZluDXVCzV8lj10JIpkWNedkYRR6-owGupHWz4CuUnSj7WqmYJ-6ZLlqu6kzv3_eRUL7Ih1R93zA4VvC5lPgln7RLu2jkOgbnjYKAlf6Cb7R_ubTwQwkDQa6tSongNRGa-udpMYQcFimueNRMMNiCOstBWHrRRXdun8zzns_cwLDteSBMs7jjE9ImaHFVg-civMt1ZtK9A==&p=1&fvj=1&vjs=3
Full Stack C#.NET Developer (W-7666),Myticas Consulting,"Madison, WI",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bt274jo0r_e0cCCqhskoQvohXG3bfDAo8rIdE-Msu3yuVfyF2oiDFKHFOU-vxVulBQSulkdCX2H037KhKcueAojGFUagLHTSPFd1iAlqcc07VjprNOate8LgJqh7a6K9vzYunXnraffhCQVeKNOiG7C2wXrMoRUnHYGfbBNXplWYyyA6ykomZWYH7Tpp0lddWHmF_NVcpaohNWdaQdg8F1rdJNAGT5a_D-We8bcxp07roM43yrmO8YkYknXpWfB2BNB8Cq6vLBmO9xCMf4vvLsGsIt0O1Cr9k4IyKD9Gg0fud_D21Wa6nLWqYNxzZPKQ_69d28XgVU9QhHcr6X6U0C1j6nenvDyrP15B8B5_VLLOV9o8nsP0La6QT22a3et6vW6MLFPYGC3Vf45yrF3sYKh3R0EL9_suFau1PUsthmY-yLaEIAm4m28Y2rRkZdAY3_kyAfUFdAKg==&p=2&fvj=0&vjs=3
Xamarin Developer,Colossal Systems,"Tampa, FL",https://www.indeed.com/company/Colossal-Systems/jobs/Xamarin-Developer-c0c4daae6c2d6677?fccid=011a94ca54aa9715&vjs=3
Senior .Net Developer,Vedainfo,"Naperville, IL",https://www.indeed.com/company/Vedainfo/jobs/Senior-Net-Developer-3acc0cd7c001253f?fccid=0e459add14f85a79&vjs=3
.net Developer with SACWIS or CCWIS experience,software people incorporation,"Albany, NY",https://www.indeed.com/company/software-people-incorporation/jobs/Net-Developer-Sacwis-or-Ccwis-Experience-c46b9b37d3bcca70?fccid=1cb97bb12da31770&vjs=3
Senior .Net Full Stack Developer,Kani Solutions,"St. Louis, MO",https://www.indeed.com/company/Kani-Solutions/jobs/Senior-Net-Full-Stack-Developer-f17275d190bb7a91?fccid=6d19b3e54be9bb3a&vjs=3
Azure Datalake Developer,FAAZ Consulting,"Richmond, VA",https://www.indeed.com/company/Guerdon-Group/jobs/Azure-Datalake-Developer-084e4ee26b2a9dc5?fccid=5321a876f5f3364d&vjs=3
Mobile Developer,Inficare Technologies,"Woodbridge, NJ",https://www.indeed.com/company/Inficare-Technologies/jobs/Mobile-Developer-199298daf6f2f7b2?fccid=456a1440c87218e1&vjs=3
Software Engineer (.Net and Python),Cloudpointamerica,"Santa Ana, CA",https://www.indeed.com/company/Cloudpointamerica/jobs/Software-Engineer-bbb27fe0bb6a0767?fccid=f0d1fe3eee03a534&vjs=3
C# developer,InfoSpeed Services Inc,"San Leandro, CA",https://www.indeed.com/company/InfoSpeed-Services-Inc/jobs/Csharp-Developer-8d6fbed642f5cfde?fccid=49fe9e4bcf5a0871&vjs=3
Net Developer (617088) and SharePoint Developer,Nuvento,"Trenton, NJ",https://www.indeed.com/company/Nuvento/jobs/Net-Developer-Sharepoint-Developer-5f9366f215e4f20c?fccid=dfe406ca2aa0e613&vjs=3
Facets Developer,Mythri Consulting LLC.,"Raleigh, NC",https://www.indeed.com/company/Mythri-Consulting-LLC./jobs/Facet-Developer-eb80fbc7531f2cfb?fccid=a44fa729909d12a1&vjs=3
Senior C#/.Net API Developer,Artizen Staffing,"Greenwood Village, CO",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHjZI0rxEaiB1JG2poWi2yrwEkIycY8_olU0mpa5qCWSOLXtHBsYGsBJFdmc_8v9x-Nt5LgjxzzzEETvvSgo7EC5X_BQSPKzQ4jChZsbXg2lxAe2wC6is2N_lG_ErdKZIWnBfPSuMZi6xTp3yNwx33dogKOAUXAxp9BTjUKOmvBFGJeIFjl9J75l0Dp6VRiH3hEBZLbk_qfTfCQ4OviHj3vnYuOIttTOUPKPrnPShu90D_A4eEPOqX8W5LwngUH2EzsVziaFgCF87qqut6Du2INfhAYggz9lxbDGHXtJIs-bD1ngpxwevfDwXoxRZo6kzOj2_WjffMxSSGhTdgJ8Cq0gdG_9QGD7x6fc6p8BuNORkDNIr2iyLWW0Pdnjznvgh5mH04PEoBlNbovwXZixUYD60XDhNoJX6F8zvE5DGWKHOuA4eVepq6DsAyR_sVxxStZ8g8-259GV0v35SEDGTZ&p=13&fvj=1&vjs=3
.NET Developer (9077),Myticas Consulting,"Houston, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bt274jo0r_e0cCCqhskoQvohXG3bfDAo8rIdE-Msu3yuVfyF2oiDFKHFOU-vxVulBQSulkdCX2H7nS2mU677EQxhVbTEblMXzk9Q6wdMRH5jMhgtmMho6kBeG792flzHD7UfLKbE0-gdIKB01HMbnw5QjDQalgV5GCNffzXfUKH7JCck38CNlS_m_8st6HSajFojrBsI2pbl5a4DSG4dWjvon10KKMg_phkdFrE-mwn1J5umIQCfwH0CyxJ13hst7f61zYNOc_oXMCj7ion04OukeuzyuFZuT5CEIe0XCXNJ9WJPMsLefrqh2mcfiwIDzXYeXUAcsqzOj-En4rcbYRNIXuSy6bRi4g5jryREAXuJftWSjog425Fg1eU6M4CuRJzu9fFLEHvPDoxPhusRTInmC5pQdyYP2xlQHRV9RFVViDRUff_v96vBb64ssQbNLbOvk-6iurjQ==&p=14&fvj=0&vjs=3
Robotic Process Automation Engineer / Architect,Myticas Consulting,"New York, NY",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bt274jo0r_e0cCCqhskoQvohXG3bfDAo8rIdE-Msu3yuVfyF2oiDFKHFOU-vxVulBQSulkdCX2Hz4nwOEcb3Sz68-duiRD9r35xMSm29ltWjlfUeI7-A6pwEwSSeJ-VV8kmJj1oXq-C_d9f4YpgKQYql5L0auGJIsMemu11dKU_2RX-t0FpQyw7b6Rd9jR9eRgcAFxa9OzbQcXC5-2BSaLFMFz4mvyWnbN_fGJZohl-nE5Cuh3mfi0VPPm7lDs12QR69PsF4xryxEzVWix4NqXuxVdOfmDUH7NYlDz5JcIHKQcsJZrsr3ZkgtdJkztplHX3YOUXsyVL3suTAx-NRiLykS9sIwdKwx5NZ4bnAjsId4Foe1RwlUjTNVgpLakqQSh5bI7cPh81JoV-WHxdsd__BaSuuUCZuroBKWMctECe-LA_USgbkRaovYxcVxyxDIpuz1vlfbTBOZWOnlcaVtYLJR4xDNZz5uQ4o9vOy44xw==&p=15&fvj=0&vjs=3
Principal Software Engineer (Aerospace),jay@pgsworldwide.com,"Richardson, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6th_gLkMXarimKtg79ygn_ckOxs4dNEUoC3NpNub0xiYr9PT_wRVX1dA45WNTqn7Kzs0as19WHZW0F_pC1dmEKXtQ9R1X_tu0PaE5XMABCdhOcRyjVO9c5Ll439DpNikPQT-0B2n1DHBddYpjKD6LUnB6MK3AEJEBXK2E772JHV3kH-TfatSHFlZjC7uzIcE8qqbNo15DrYnXJPBUkHOs_tYy0aELjyzS09ha9JT4UrXs4kuGskFSbcyTXWZlLxxkTKayR_mK-7CcuXAu-r9QTIQxX6mR5bE4FaO0LIjKON548MxYSabAZ2zVXYnhEKp92uO9xj2RFWNPccHpRPFToZBxCUn8cG_ChChg2gLIhE2VjBakF-_8jSGZPVsaj8EOncjXFX1WI8YfFd2t6SJCSUkGKZjIOmcvsALrTLfhAXhVXoIj5k4iuvSTqDiGRolmCDijgvi_iw==&p=0&fvj=1&vjs=3
Dynamics 365/CRM Developer,TetraCloud Solutions Corp,"Atlanta, GA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AehsUXeATYU6uvjCQHxWDbUO8JpXTu0s0llQ1WpLJARWFidhFpLPtKBwhmvKPPFXruQylcmEpi0UZxRWlycmom_eJ-MaiMIcvfJDEB5VkZhDBM14WyB463FQwaSEbw1-nsj5KYjylGVQacyjzUvXVCCHudCL8MuNmIrbBYvaicpVr063HXRadTlSI_0T6Xa6962CpMG83IivAiRT3QYoJlxZNo9wJqC5bxlV0IC5fQf10JXSZY3YE9zosveRS86CeOurhOwxvctJyZ1nfZ1ZAIYr-k4z5Bq26kx7nUDrLd5iCQMGKtMWSAR04O9bzVLBKxS6k06zrcZYo6f7bDnlJMwFibU3nmybk_htWBK2GJVnVrbOtTB7l-zf27zd4XhC1PmF937oZqyeY9rkX0t5L_dqR_wRrgZV5F_qjo0XOmKhEMAIShHoOkn1PxPFuTK7XnIl943dpjfQ==&p=1&fvj=1&vjs=3
.NET Developer (9077),Myticas Consulting,"Houston, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bt274jo0r_e0cCCqhskoQvohXG3bfDAo8rIdE-Msu3yuVfyF2oiDFKHFOU-vxVulBQSulkdCX2H7nS2mU677EQxhVbTEblMXzk9Q6wdMRH5jMhgtmMho6kBeG792flzHD7UfLKbE0-gdIKB01HMbnw5QjDQalgV5GCNffzXfUKH3RGRbS0Z8IyoNQDgTDTl836DBB8muggzejVqvTlgf1flsgkG7pVTgd9hbkceR6RnUu_K6zx9YcPUvttalJJlO6uYV1mRRfRHFBgE0lVm3UxRd7GZDgLD1iK2B_B3JsJ5--C48Z2HPlikcC3tmxbx_3giamIU270Yma1--Dg6sHzNtpDlRZ3ITB5Xh_GYyxh0hon5_GDOpiBBNYc-3BCdoNiTTBo3VItZQtF4c4TBBweb3oLWOP395tMYYulD19B8GMYZndP7xr0wr6EOTgeqyag2FRT529cFw==&p=2&fvj=0&vjs=3
Azure Developer,Internal Data Resources,"Alpharetta, GA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D-IIHpRgNhhiguU_t6VlqfhfFf3-SclHiEW6RanCpGL0AEnsnTmiX299MBfDVxpfpefsQfFe5SWTmboDvaS1sKFy_OoJV6zClYRqo9we_XMkpdB-I2QOB3zB4VoUIRRdqcUtU_7XUvywqKMl-i4XqXNjE5iYtgYc2zyB6WxqPABGS_2XR5ItbHk1bx_74_5VG7UDP_aGAGlWqKKdNyrRmfsri7XpNlxuShy-z1YUBFFUgDrKxPe0ZsoaqjPccENrg6hk8ZIgEbRlzEbl0TtOebKY1TpHD9C1r7FquB6iR4A94wD0eISQkm34-YPBq8GiT5NJwLTIQVTxrUv-NHomEu8gNfadzF0HxrXNGWZ2Pm6QGsJx8_SKclcjmtpFhGv1meYR2cuY-mphTlhLmmTkeTSTEwtnJlvOPKzlfpVugvwzpxdA1CKzIF2wc9YrpxS8uX5_wJTFnv0w==&p=3&fvj=1&vjs=3
Full Stack C#.NET Developer (W-7666),Myticas Consulting,"Madison, WI",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bt274jo0r_e0cCCqhskoQvohXG3bfDAo8rIdE-Msu3yuVfyF2oiDFKHFOU-vxVulBQSulkdCX2H037KhKcueAojGFUagLHTSPFd1iAlqcc07VjprNOate8LgJqh7a6K9vzYunXnraffhCQVeKNOiG7C2wXrMoRUnHYGfbBNXplWZT8NanwDvhrfnCwwJP7cyj-V2HExhOFUUGafNEug6CwQCmj7Kr6JPF48gefpfF78nslVRg51iRrOxHqCbckML6xgyzxoijEH95Z0wLmYxmJsMi5mrUV5SFP1xfvtJF28N9gUgxdEPAYtfYM31ioAYLNloYFAoqoCGlElHTBcF5n6VEecPRQbWZJ9jOujOhHcrGonpvdJNu13fkCr7nKrvdYRJL_Xd5I2c3pfqqH-ZDJv1al-w3bhHKll9oFqMj804hPedJXmWN6-xina8eDxK9zbYvy18xWzw==&p=4&fvj=0&vjs=3
"Core Java Developer & Java Full Stack Developer - Purchase, NY -Local _w2",Tanisha Systems Inc,"Purchase, NY",https://www.indeed.com/company/Tanisha-Systems-Inc/jobs/Core-Java-Developer-Java-Full-Stack-Developer-75c5892db29851ca?fccid=9c4171181b7ea71f&vjs=3
Office 365 Administrator/Developer,Digital Minds technoliges Inc,"Arlington, VA",https://www.indeed.com/company/Digital-Minds-technoliges-Inc/jobs/Office-Administrator-Developer-b51d4a925eba50dd?fccid=13f6a18930642ef5&vjs=3
Data Lead / Cloud Analyst,EA Team,"Atlanta, GA",https://www.indeed.com/company/EA-Team/jobs/Data-Lead-bbf257faad084894?fccid=75e9097692851b27&vjs=3
MS Dynamics CRM Technical Architect.,JNIT Technologies,"Malvern, PA",https://www.indeed.com/company/JNIT-Technologies/jobs/Ms-Dynamic-Crm-Technical-Architect-f770653c6582a05b?fccid=7cd4b59cf980526c&vjs=3
.Net Developer,MAGRABBIT,"Austin, TX",https://www.indeed.com/rc/clk?jk=4d8f6b65d2a76d15&fccid=7ed5ac56090907f5&vjs=3
Net Developer,STACKNEXUS,"Columbia, MD",https://www.indeed.com/company/STACKNEXUS/jobs/Net-Developer-bde99770743e331e?fccid=862a59d3b4f8e896&vjs=3
